SHEET	04_	A4
K001			4	4	4	4	3	4	4	1	5	4				Прямой конкурент		Проверено	Уверенность: высокая. Та же задача «текст → UML-диаграмма», та же аудитория (РФ — 1-я страна трафика), бесплатен — прямая альтернатива Free-тарифу; нет IDEF/DFD и проверки правил. Корректировка: балл 3,75 (=75 из 100 по шкале методички, диапазон 65–79) повышен до прямого по правилу «постоянно в тех же запросах» — 4 подтверждения (см. 02_Доказательства).	https://plantuml.com; SimilarWeb plantuml.com (2026-09-17)	2026-09-17
K002			4	3	3	3	3	4	3	1	5	4						Проверено	Уверенность: высокая. Та же задача для UML-части, но сценарий — диаграммы внутри Markdown-документации; нет BPMN/IDEF/DFD и валидации нотаций.	https://mermaid.js.org	2026-09-17
K003			4	3	3	3	1	3	1	3	3	4						Проверено	Уверенность: средняя. Товар близок к Mermaid, но тарифы без регистрации не раскрыты (C5 = 1, проверить), русскоязычный сегмент почти не представлен (C7 = 1).	https://www.mermaidchart.com; SimilarWeb mermaidchart.com (2026-09-17)	2026-09-17
K004			4	3	3	4	3	4	2	5	4	3						Проверено	Уверенность: высокая. Ближайший аналог по модели (freemium + подписка, AI, DSL), но цена 15–20 USD/участник/мес против 4 USD, нет IDEF/DFD/сетей Петри, русскоязычный сегмент не в топ-5 стран.	https://www.eraser.io; https://www.eraser.io/diagramgpt; SimilarWeb eraser.io (2026-09-23)	2026-09-23
K005			4	3	3	3	3	3	3	1	3	4						Проверено	Уверенность: высокая. Та же идея «текст → диаграмма», но архитектурные/сетевые схемы; UML только class/sequence, нет BPMN/IDEF/DFD; без монетизации (fiscal sponsor Hack Club).	https://d2lang.com; https://d2lang.com/tour/faq/	2026-09-23
K006			4	3	3	4	3	3	2	4	2	2						Требует уточнения	Уверенность: низкая. Freemium с Free-тарифом и собственным DSL (kursach.md) — близко к модели NotaCode; цены Pro, нотации и аудитория 🔲 проверить на сайте.	https://www.gleek.io	2026-09-25
K007			3	3	2	3	2	2	2	2	3	1						Проверено	Уверенность: средняя. Только модель C4 → заменяет малую часть задачи (C3 = 2, ограничитель). Используется как эталон практики «одна модель — несколько представлений». Тарифы 🔲 проверить.	https://structurizr.com	2026-09-17
K008			3	3	2	3	3	3	2	4	3	3						Требует уточнения	Уверенность: низкая (фактов в исходниках нет, оценка предварительная — допущение). Закрывает только ERD-часть задачи (C3 = 2, ограничитель).	https://dbdiagram.io	2026-09-25
K009			3	4	3	3	3	4	4	1	5	4						Проверено	Уверенность: высокая. Главный заменитель: та же аудитория и те же нотации, но ручное рисование без текста и без проверки правил; «No account required. No credit card».	https://www.drawio.com; https://app.diagrams.net; SimilarWeb (2026-09-23)	2026-09-23
K010			3	3	3	3	2	3	2	3	5	2						Проверено	Уверенность: средняя. Графический ввод, SaaS-подписка (тарифы 🔲 проверить), сильная совместная работа; для S-02 — альтернатива, для студентов — дорого/избыточно.	https://www.lucidchart.com	2026-09-17
K011			3	2	2	2	3	2	2	1	4	3						Проверено	Уверенность: средняя. Только BPMN (C3 = 2, ограничитель), зато исполнимый; NotaCode сознательно не делает исполнение процессов. Эталон практики для BPMN XML.	https://camunda.com/download/modeler/	2026-09-17
K012			4	4	3	4	2	2	5	1	2	2						Проверено	Уверенность: средняя. Та же задача и аудитория для IDEF-части (курсы СНГ), русскоязычный, но графический ввод, устаревший UX, настольная лицензия (01-project-concept.md, P-04); условия Educational 🔲 проверить.	🔲 URL сайта Ramus	2026-09-17
K013			3	3	3	3	3	3	2	3	4	2						Требует уточнения	Уверенность: низкая (факты — только категория CASE в 00-competitive-analysis.md; тарифы и нотации 🔲 проверить). Широкий набор нотаций при графическом вводе.	https://online.visual-paradigm.com	2026-09-25
K014			1	2	1	1	2	2	2	3	5	1						Требует уточнения	Уверенность: низкая. Схемы как часть совместной работы, без строгих нотаций и текстового ввода; может войти через шаблоны/AI — наблюдать.	https://miro.com	2026-09-25
K015			3	2	3	2	1	2	2	1	5	2						Проверено	Уверенность: средняя. Может заменить рисование, но лицензия Microsoft 365 и корпоративный сегмент; для студентов РБ — барьер оплаты.	https://www.microsoft.com/microsoft-365/visio	2026-09-17
K016			3	2	3	2	1	1	3	1	5	2						Проверено	Уверенность: средняя. Полноценная замена по нотациям, но платная настольная лицензия, без текстового представления и Git (P-04 концепции).	https://sparxsystems.com	2026-09-17
K017			2	2	1	2	3	2	3	1	5	3						Проверено	Уверенность: высокая. Инфраструктурный движок графов, нотаций нет; NotaCode экспортирует в DOT — скорее технология, чем конкурент.	https://graphviz.org	2026-09-17
K018			2	2	1	1	3	1	3	1	3	3				Не конкурент / объект наблюдения		Проверено	Уверенность: высокая. Корректировка: расчётно «смежная» (1,79), но это агрегатор без собственного пользовательского товара и технологический партнёр NotaCode (E8) — по методике агрегаторы исключаются из конкурентов.	https://kroki.io	2026-09-17
K019			2	4	1	2	3	3	2	3	5	2						Проверено	Уверенность: средняя. Сейчас лишь генерирует текст диаграммы (C3 = 1), но имеет огромную студенческую аудиторию — потенциальная угроза при появлении встроенного рендера. Тарифы 🔲 проверить.	https://chatgpt.com	2026-09-17
K020			1	2	1	1	2	0	2	3	5	1						Исключено	Уверенность: низкая. Нет связи с задачей строгих нотаций; оставлена в реестре как объект наблюдения за практиками интерфейса.	https://www.figma.com/figjam/	2026-09-25
