SHEET	08_	A7
A001	C02	AI-генерация диаграмм + MCP-сервер для агентов	https://www.eraser.io/diagramgpt (2026-09-17)	5. Потенциальный товар	Привлекательное	Интеграционное	5	4	4	4			AI-режимы E9 с самопроверкой кода валидатором; MCP — после MVP
A002	C07	Бесплатно, без регистрации и без карты	https://www.drawio.com (2026-09-23)	3. Ожидаемый товар	Обязательное	Экономическое	3	5	5	5			Первый результат в NotaCode — без регистрации; регистрация только для облака
A003	C03	Нативный рендер в GitHub/GitLab/Notion	https://mermaid.js.org (2026-09-17)	4. Расширенный товар	Линейное	Сетевой эффект	5	5	4	5			Экспорт в Mermaid (E8) — встраивание результата в платформы, где Mermaid уже стандарт
A004	C01	Работа локально и в IDE, «No tracking»	https://plantuml.com (2026-09-17)	3. Ожидаемый товар	Линейное	Доверительное	3	4	4	5			Офлайн-черновики PWA, прозрачная политика данных
A005	C04	3 движка раскладки и экспорт в 6 форматов	https://d2lang.com/tour/faq/ (2026-09-23)	3. Ожидаемый товар	Линейное	Функциональное	3	4	3	4			Качество раскладки elkjs; экспорт шире SVG/PNG в Pro
A006	C07	Интеграции Google/Microsoft/Atlassian/GitHub как канал	https://www.drawio.com (2026-09-23)	3. Ожидаемый товар	Линейное	Интеграционное	3	5	4	4			GitHub + Google Drive в MVP (E7); Confluence — гипотеза для S-02
A007	C08	IDEF0/DFD на русском в учебных курсах СНГ	🔲 URL Ramus; 00-competitive-analysis.md	4. Расширенный товар	Привлекательное	Контентное	4	2	4	2			Шаблоны учебных заданий IDEF0/DFD на русском — перехват сегмента S-01
A008	C02	История версий, градуированная по тарифам (90 дней → безлимит)	архив ЛР5, 2026-09-17	3. Ожидаемый товар	Линейное	Экономическое	3	3	3	4			20 версий в Free, полная история в Pro — лимит как стимул оплаты
A009	C11	Одна модель — несколько представлений (C4)	https://structurizr.com (2026-09-17)	4. Расширенный товар	Привлекательное	Функциональное	4	4	3	3			Декомпозиция IDEF0 A-0 → A0 → A1 из одной модели
A010	C12	Исполнимый BPMN XML	https://camunda.com/download/modeler/ (2026-09-17)	4. Расширенный товар	Безразличное	Функциональное	4	4	2	3			Не копировать: только корректный экспорт BPMN XML
A011	C02	Цена 15–20 USD/участник/мес	архив ЛР2-3, 2026-09-17	1. Базовая выгода	Обратное	Экономическое	1	2	2	5			Не копировать: для S-01 цена Pro 4 USD
